Time resolution is 1 ps
Time: 450315000 | State: 10 | Score:  409 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 450965000 | State: 10 | Score:  409 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 452805000 | State: 10 | Score:  414 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 456455000 | State: 10 | Score:  414 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 460735000 | State: 10 | Score:  420 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 461945000 | State: 10 | Score:  420 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 463785000 | State: 10 | Score:  427 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 464395000 | State: 10 | Score:  435 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 467435000 | State: 10 | Score:  435 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 468665000 | State: 10 | Score:  443 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 472925000 | State: 10 | Score:  443 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 478415000 | State: 10 | Score:  443 | Level: 10 | Life Span:         60 | Gen Interval:         60
Time: 478425000 | State: 10 | Score:  453 | Level: 10 | Life Span:         60 | Gen Interval:         60
Time: 481475000 | State: 10 | Score:  463 | Level: 10 | Life Span:         60 | Gen Interval:         60
Time: 483905000 | State: 10 | Score:  463 | Level: 11 | Life Span:         60 | Gen Interval:         60
Time: 488795000 | State: 10 | Score:  474 | Level: 11 | Life Span:         60 | Gen Interval:         60
Time: 488805000 | State: 10 | Score:  474 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 492455000 | State: 10 | Score:  486 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 493065000 | State: 10 | Score:  499 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 494885000 | State: 10 | Score:  499 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 494895000 | State: 10 | Score:  512 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 497335000 | State: 10 | Score:  525 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 498555000 | State: 10 | Score:  538 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 500375000 | State: 10 | Score:  538 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 502215000 | State: 10 | Score:  552 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 504655000 | State: 10 | Score:  566 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 505865000 | State: 10 | Score:  566 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 506485000 | State: 10 | Score:  581 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 511355000 | State: 10 | Score:  581 | Level:  0 | Life Span:         60 | Gen Interval:         60
Time: 585165000 | State: 10 | Score:  581 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 585175000 | State: 10 | Score:  582 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 587615000 | State: 10 | Score:  583 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 590655000 | State: 10 | Score:  583 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 591075000 | State: 10 | Score:  585 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 592715000 | State: 10 | Score:  587 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 594345000 | State: 10 | Score:  587 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 596235000 | State: 10 | Score:  587 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 597225000 | State: 10 | Score:  587 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 598455000 | State: 10 | Score:  592 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 600895000 | State: 10 | Score:  597 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 602715000 | State: 10 | Score:  597 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 605165000 | State: 10 | Score:  603 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 608205000 | State: 10 | Score:  603 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 608215000 | State: 10 | Score:  610 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 611265000 | State: 10 | Score:  617 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 613695000 | State: 10 | Score:  617 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 619185000 | State: 10 | Score:  617 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 619805000 | State: 10 | Score:  626 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 621635000 | State: 10 | Score:  635 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 624675000 | State: 10 | Score:  635 | Level: 10 | Life Span:         60 | Gen Interval:         60
Time: 630165000 | State: 10 | Score:  635 | Level: 11 | Life Span:         60 | Gen Interval:         60
Time: 635655000 | State: 10 | Score:  635 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 641145000 | State: 10 | Score:  635 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 646635000 | State: 10 | Score:  635 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 648475000 | State: 10 | Score:  649 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 649085000 | State: 10 | Score:  664 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 650305000 | State: 10 | Score:  678 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 650915000 | State: 10 | Score:  693 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 652125000 | State: 10 | Score:  693 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 652745000 | State: 10 | Score:  708 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 655185000 | State: 10 | Score:  723 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 657615000 | State: 10 | Score:  723 | Level:  0 | Life Span:         60 | Gen Interval:         60
Time: 660065000 | State: 10 | Score:  724 | Level:  0 | Life Span:         60 | Gen Interval:         60
Time: 731425000 | State: 10 | Score:  724 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 731435000 | State: 10 | Score:  725 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 732045000 | State: 10 | Score:  727 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 735095000 | State: 10 | Score:  728 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 736915000 | State: 10 | Score:  728 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 740605000 | State: 10 | Score:  728 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 742495000 | State: 10 | Score:  728 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 743485000 | State: 10 | Score:  728 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 744105000 | State: 10 | Score:  733 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 748975000 | State: 10 | Score:  733 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 749595000 | State: 10 | Score:  739 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 750815000 | State: 10 | Score:  745 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 752035000 | State: 10 | Score:  751 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 752645000 | State: 10 | Score:  758 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 754465000 | State: 10 | Score:  758 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 759955000 | State: 10 | Score:  758 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 759965000 | State: 10 | Score:  766 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 761185000 | State: 10 | Score:  774 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 764235000 | State: 10 | Score:  782 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 765445000 | State: 10 | Score:  782 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 766675000 | State: 10 | Score:  791 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 769115000 | State: 10 | Score:  800 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 770935000 | State: 10 | Score:  800 | Level: 10 | Life Span:         60 | Gen Interval:         60
Time: 771555000 | State: 10 | Score:  810 | Level: 10 | Life Span:         60 | Gen Interval:         60
